Date,pos
2020-08-15 00:00:00+00:00,0.37867828232405154
2020-08-16 00:00:00+00:00,0.3912843737937047
2020-08-17 00:00:00+00:00,0.39128867214400315
2020-08-18 00:00:00+00:00,0.3867374459139175
2020-08-19 00:00:00+00:00,0.38681697143366045
2020-08-20 00:00:00+00:00,0.39895686099620026
2020-08-21 00:00:00+00:00,0.3940960232265787
2020-08-22 00:00:00+00:00,0.40673624381956586
2020-08-23 00:00:00+00:00,0.4201220827569058
2020-08-24 00:00:00+00:00,0.0
2020-08-25 00:00:00+00:00,0.0
2020-08-26 00:00:00+00:00,0.0
2020-08-27 00:00:00+00:00,0.0
2020-08-28 00:00:00+00:00,0.0
2020-08-29 00:00:00+00:00,0.0
2020-08-30 00:00:00+00:00,0.0
2020-08-31 00:00:00+00:00,0.0
2020-09-01 00:00:00+00:00,0.0
2020-09-02 00:00:00+00:00,0.0
2020-09-03 00:00:00+00:00,0.0
2020-09-04 00:00:00+00:00,0.0
2020-09-05 00:00:00+00:00,0.0
2020-09-06 00:00:00+00:00,0.0
2020-09-07 00:00:00+00:00,0.0
2020-09-08 00:00:00+00:00,0.0
2020-09-09 00:00:00+00:00,0.0
2020-09-10 00:00:00+00:00,0.0
2020-09-11 00:00:00+00:00,0.0
2020-09-12 00:00:00+00:00,0.0
2020-09-13 00:00:00+00:00,0.0
2020-09-14 00:00:00+00:00,0.0
2020-09-15 00:00:00+00:00,0.0
2020-09-16 00:00:00+00:00,0.0
2020-09-17 00:00:00+00:00,0.0
2020-09-18 00:00:00+00:00,0.0
2020-09-19 00:00:00+00:00,0.0
2020-09-20 00:00:00+00:00,0.0
2020-09-21 00:00:00+00:00,0.0
2020-09-22 00:00:00+00:00,0.0
2020-09-23 00:00:00+00:00,0.0
2020-09-24 00:00:00+00:00,0.0
2020-09-25 00:00:00+00:00,0.0
2020-09-26 00:00:00+00:00,0.0
2020-09-27 00:00:00+00:00,0.0
2020-09-28 00:00:00+00:00,0.0
2020-09-29 00:00:00+00:00,0.0
2020-09-30 00:00:00+00:00,0.0
2020-10-01 00:00:00+00:00,0.0
2020-10-02 00:00:00+00:00,0.0
2020-10-03 00:00:00+00:00,0.0
2020-10-04 00:00:00+00:00,0.0
2020-10-05 00:00:00+00:00,0.0
2020-10-06 00:00:00+00:00,0.0
2020-10-07 00:00:00+00:00,0.0
2020-10-08 00:00:00+00:00,0.0
2020-10-09 00:00:00+00:00,0.0
2020-10-10 00:00:00+00:00,0.0
2020-10-11 00:00:00+00:00,0.0
2020-10-12 00:00:00+00:00,0.0
2020-10-13 00:00:00+00:00,0.4930100216124298
2020-10-14 00:00:00+00:00,0.5096676530089115
2020-10-15 00:00:00+00:00,0.5261664449811635
2020-10-16 00:00:00+00:00,0.5281550100782277
2020-10-17 00:00:00+00:00,0.5457970927464875
2020-10-18 00:00:00+00:00,0.5582199257365191
2020-10-19 00:00:00+00:00,0.5505648390437884
2020-10-20 00:00:00+00:00,0.560568884139711
2020-10-21 00:00:00+00:00,0.39625419399832507
2020-10-22 00:00:00+00:00,0.4095171768556262
2020-10-23 00:00:00+00:00,0.4201926036403835
2020-10-24 00:00:00+00:00,0.43347369997224555
2020-10-25 00:00:00+00:00,0.44215865502048696
2020-10-26 00:00:00+00:00,0.4566751956760977
2020-10-27 00:00:00+00:00,0.4298750853819358
2020-10-28 00:00:00+00:00,0.40628584026383535
2020-10-29 00:00:00+00:00,0.41925078775245495
2020-10-30 00:00:00+00:00,0.43345148625741375
2020-10-31 00:00:00+00:00,0.44510614419302863
2020-11-01 00:00:00+00:00,0.4560610605700727
2020-11-02 00:00:00+00:00,0.45632750696160995
2020-11-03 00:00:00+00:00,0.4531507520326653
2020-11-04 00:00:00+00:00,0.4673481041787918
2020-11-05 00:00:00+00:00,0.3176599357397102
2020-11-06 00:00:00+00:00,0.3258942242054345
2020-11-07 00:00:00+00:00,0.29632055228861953
2020-11-08 00:00:00+00:00,0.29539102164717274
2020-11-09 00:00:00+00:00,0.30134445196472537
2020-11-10 00:00:00+00:00,0.30999275749967925
2020-11-11 00:00:00+00:00,0.31693851448436217
2020-11-12 00:00:00+00:00,0.31962373588829923
2020-11-13 00:00:00+00:00,0.32943968277760927
2020-11-14 00:00:00+00:00,0.3313690392672425
2020-11-15 00:00:00+00:00,0.3389251380764591
2020-11-16 00:00:00+00:00,0.33020274876246797
2020-11-17 00:00:00+00:00,0.3178705814298458
2020-11-18 00:00:00+00:00,0.32839207624155864
2020-11-19 00:00:00+00:00,0.33741795892712484
2020-11-20 00:00:00+00:00,0.3347977164656109
2020-11-21 00:00:00+00:00,0.34360228023731887
2020-11-22 00:00:00+00:00,0.34332541508654707
2020-11-23 00:00:00+00:00,0.35270459078499083
2020-11-24 00:00:00+00:00,0.3514577882669989
2020-11-25 00:00:00+00:00,0.34668690455303475
2020-11-26 00:00:00+00:00,0.2614635944908567
2020-11-27 00:00:00+00:00,0.27000949129351876
2020-11-28 00:00:00+00:00,0.27209877579703245
2020-11-29 00:00:00+00:00,0.2783445408339488
2020-11-30 00:00:00+00:00,0.2544093658102831
2020-12-01 00:00:00+00:00,0.2459581061131906
2020-12-02 00:00:00+00:00,0.25336118724583895
2020-12-03 00:00:00+00:00,0.261867692887197
2020-12-04 00:00:00+00:00,0.25587261960176644
2020-12-05 00:00:00+00:00,0.26249491102878886
2020-12-06 00:00:00+00:00,0.2713459645134517
2020-12-07 00:00:00+00:00,0.27873592660377466
2020-12-08 00:00:00+00:00,0.2673207259813106
2020-12-09 00:00:00+00:00,0.27570669360664357
2020-12-10 00:00:00+00:00,0.282075014505776
2020-12-11 00:00:00+00:00,0.2900157634236991
2020-12-12 00:00:00+00:00,0.2865258237226428
2020-12-13 00:00:00+00:00,0.2945162615049832
2020-12-14 00:00:00+00:00,0.3045000014938766
2020-12-15 00:00:00+00:00,0.3146614525800165
2020-12-16 00:00:00+00:00,0.25953504535114935
2020-12-17 00:00:00+00:00,0.24880717206638217
2020-12-18 00:00:00+00:00,0.2572436886906615
2020-12-19 00:00:00+00:00,0.26416982831092123
2020-12-20 00:00:00+00:00,0.2660345201918307
2020-12-21 00:00:00+00:00,0.262697411586493
2020-12-22 00:00:00+00:00,0.0
2020-12-23 00:00:00+00:00,0.0
2020-12-24 00:00:00+00:00,0.0
2020-12-25 00:00:00+00:00,0.0
2020-12-26 00:00:00+00:00,0.0
2020-12-27 00:00:00+00:00,0.0
2020-12-28 00:00:00+00:00,0.0
2020-12-29 00:00:00+00:00,0.0
2020-12-30 00:00:00+00:00,0.0
2020-12-31 00:00:00+00:00,0.0
2021-01-01 00:00:00+00:00,0.0
2021-01-02 00:00:00+00:00,0.0
2021-01-03 00:00:00+00:00,0.0
2021-01-04 00:00:00+00:00,0.0
2021-01-05 00:00:00+00:00,0.0
2021-01-06 00:00:00+00:00,0.0
2021-01-07 00:00:00+00:00,0.0
2021-01-08 00:00:00+00:00,0.0
2021-01-09 00:00:00+00:00,0.0
2021-01-10 00:00:00+00:00,0.0
2021-01-11 00:00:00+00:00,0.0
2021-01-12 00:00:00+00:00,0.0
2021-01-13 00:00:00+00:00,0.0
2021-01-14 00:00:00+00:00,0.0
2021-01-15 00:00:00+00:00,0.0
2021-01-16 00:00:00+00:00,0.0
2021-01-17 00:00:00+00:00,0.0
2021-01-18 00:00:00+00:00,0.0
2021-01-19 00:00:00+00:00,0.0
2021-01-20 00:00:00+00:00,0.0
2021-01-21 00:00:00+00:00,0.0
2021-01-22 00:00:00+00:00,0.0
2021-01-23 00:00:00+00:00,0.0
2021-01-24 00:00:00+00:00,0.0
2021-01-25 00:00:00+00:00,0.0
2021-01-26 00:00:00+00:00,0.0
2021-01-27 00:00:00+00:00,0.0
2021-01-28 00:00:00+00:00,0.0
2021-01-29 00:00:00+00:00,0.0
2021-01-30 00:00:00+00:00,0.0
2021-01-31 00:00:00+00:00,0.0
2021-02-01 00:00:00+00:00,0.0
2021-02-02 00:00:00+00:00,0.0
2021-02-03 00:00:00+00:00,0.0
2021-02-04 00:00:00+00:00,0.0
2021-02-05 00:00:00+00:00,0.0
2021-02-06 00:00:00+00:00,0.0
2021-02-07 00:00:00+00:00,0.0
2021-02-08 00:00:00+00:00,0.0
2021-02-09 00:00:00+00:00,0.1618498899829822
2021-02-10 00:00:00+00:00,0.16316124584067854
2021-02-11 00:00:00+00:00,0.16458334553600848
2021-02-12 00:00:00+00:00,0.1690466772055554
2021-02-13 00:00:00+00:00,0.17372107607398182
2021-02-14 00:00:00+00:00,0.17884836451317093
2021-02-15 00:00:00+00:00,0.18279419763164492
2021-02-16 00:00:00+00:00,0.1886304292326118
2021-02-17 00:00:00+00:00,0.190171437203861
2021-02-18 00:00:00+00:00,0.19485570467981225
2021-02-19 00:00:00+00:00,0.19098845855569258
2021-02-20 00:00:00+00:00,0.19682110473962533
2021-02-21 00:00:00+00:00,0.20335456252488215
2021-02-22 00:00:00+00:00,0.19271652057171185
2021-02-23 00:00:00+00:00,0.16908572767248148
2021-02-24 00:00:00+00:00,0.17456260938329693
2021-02-25 00:00:00+00:00,0.17332827092617215
2021-02-26 00:00:00+00:00,0.17848033047291842
2021-02-27 00:00:00+00:00,0.18448002131831984
2021-02-28 00:00:00+00:00,0.18931032695163746
2021-03-01 00:00:00+00:00,0.1756083747974004
2021-03-02 00:00:00+00:00,0.17952340590647642
2021-03-03 00:00:00+00:00,0.18217510942753065
2021-03-04 00:00:00+00:00,0.1835204333220276
2021-03-05 00:00:00+00:00,0.18970530690267362
2021-03-06 00:00:00+00:00,0.1960955042307947
2021-03-07 00:00:00+00:00,0.19771024147801863
2021-03-08 00:00:00+00:00,0.2038408944801985
2021-03-09 00:00:00+00:00,0.20544545773743564
2021-03-10 00:00:00+00:00,0.21196130579635405
2021-03-11 00:00:00+00:00,0.21753362434009937
2021-03-12 00:00:00+00:00,0.2233229719585761
2021-03-13 00:00:00+00:00,0.21871266617800983
2021-03-14 00:00:00+00:00,0.21791494995560798
2021-03-15 00:00:00+00:00,0.2078961568417686
2021-03-16 00:00:00+00:00,0.21464614089351858
2021-03-17 00:00:00+00:00,0.21888559777159147
2021-03-18 00:00:00+00:00,0.22353337441747753
2021-03-19 00:00:00+00:00,0.23110852303309148
2021-03-20 00:00:00+00:00,0.23864055142516488
2021-03-21 00:00:00+00:00,0.24454207708166292
2021-03-22 00:00:00+00:00,0.23517161324387256
2021-03-23 00:00:00+00:00,0.2431245655252672
2021-03-24 00:00:00+00:00,0.24353427964042904
2021-03-25 00:00:00+00:00,0.249606843564787
2021-03-26 00:00:00+00:00,0.23521872004590663
2021-03-27 00:00:00+00:00,0.24239525553243196
2021-03-28 00:00:00+00:00,0.2505417024057889
2021-03-29 00:00:00+00:00,0.2541849339230732
2021-03-30 00:00:00+00:00,0.2613552713739952
2021-03-31 00:00:00+00:00,0.2699853135535166
2021-04-01 00:00:00+00:00,0.27909439420797183
2021-04-02 00:00:00+00:00,0.288556447527551
2021-04-03 00:00:00+00:00,0.2871667055078408
2021-04-04 00:00:00+00:00,0.29432822420365035
2021-04-05 00:00:00+00:00,0.3042977973529619
2021-04-06 00:00:00+00:00,0.31080534200617416
2021-04-07 00:00:00+00:00,0.3039118359633266
2021-04-08 00:00:00+00:00,0.2985493563297193
2021-04-09 00:00:00+00:00,0.3084919925440998
2021-04-10 00:00:00+00:00,0.3127816336249019
2021-04-11 00:00:00+00:00,0.32329683436931766
2021-04-12 00:00:00+00:00,0.3330966248490036
2021-04-13 00:00:00+00:00,0.3080755638041059
2021-04-14 00:00:00+00:00,0.3165056027148705
2021-04-15 00:00:00+00:00,0.3271196777747291
2021-04-16 00:00:00+00:00,0.32356410881269837
2021-04-17 00:00:00+00:00,0.3301510006029054
2021-04-18 00:00:00+00:00,0.2776597058552468
2021-04-19 00:00:00+00:00,0.28673356962516416
2021-04-20 00:00:00+00:00,0.29411554956682034
2021-04-21 00:00:00+00:00,0.0
2021-04-22 00:00:00+00:00,0.0
2021-04-23 00:00:00+00:00,0.0
2021-04-24 00:00:00+00:00,0.0
2021-04-25 00:00:00+00:00,0.0
2021-04-26 00:00:00+00:00,0.0
2021-04-27 00:00:00+00:00,0.0
2021-04-28 00:00:00+00:00,0.0
2021-04-29 00:00:00+00:00,0.0
2021-04-30 00:00:00+00:00,0.0
2021-05-01 00:00:00+00:00,0.0
2021-05-02 00:00:00+00:00,0.0
2021-05-03 00:00:00+00:00,0.0
2021-05-04 00:00:00+00:00,0.0
2021-05-05 00:00:00+00:00,0.0
2021-05-06 00:00:00+00:00,0.0
2021-05-07 00:00:00+00:00,0.0
2021-05-08 00:00:00+00:00,0.0
2021-05-09 00:00:00+00:00,0.0
2021-05-10 00:00:00+00:00,0.0
2021-05-11 00:00:00+00:00,0.0
2021-05-12 00:00:00+00:00,0.0
2021-05-13 00:00:00+00:00,0.0
2021-05-14 00:00:00+00:00,0.0
2021-05-15 00:00:00+00:00,0.0
2021-05-16 00:00:00+00:00,0.0
2021-05-17 00:00:00+00:00,0.0
2021-05-18 00:00:00+00:00,0.0
2021-05-19 00:00:00+00:00,0.0
2021-05-20 00:00:00+00:00,0.0
2021-05-21 00:00:00+00:00,0.0
2021-05-22 00:00:00+00:00,0.0
2021-05-23 00:00:00+00:00,0.0
2021-05-24 00:00:00+00:00,0.0
2021-05-25 00:00:00+00:00,0.0
2021-05-26 00:00:00+00:00,0.0
2021-05-27 00:00:00+00:00,0.0
2021-05-28 00:00:00+00:00,0.0
2021-05-29 00:00:00+00:00,0.0
2021-05-30 00:00:00+00:00,0.0
2021-05-31 00:00:00+00:00,0.0
2021-06-01 00:00:00+00:00,0.0
2021-06-02 00:00:00+00:00,0.0
2021-06-03 00:00:00+00:00,0.0
2021-06-04 00:00:00+00:00,0.0
2021-06-05 00:00:00+00:00,0.0
2021-06-06 00:00:00+00:00,0.0
2021-06-07 00:00:00+00:00,0.0
2021-06-08 00:00:00+00:00,0.0
2021-06-09 00:00:00+00:00,-0.16306016127933023
2021-06-10 00:00:00+00:00,-0.16837266069853163
2021-06-11 00:00:00+00:00,-0.1730978145201588
2021-06-12 00:00:00+00:00,-0.17519917875758015
2021-06-13 00:00:00+00:00,-0.16253332051095434
2021-06-14 00:00:00+00:00,-0.16664965645640004
2021-06-15 00:00:00+00:00,-0.17228397545920554
2021-06-16 00:00:00+00:00,-0.17274363051609834
2021-06-17 00:00:00+00:00,-0.1785510440624588
2021-06-18 00:00:00+00:00,-0.17745852672772472
2021-06-19 00:00:00+00:00,-0.18347553718459225
2021-06-20 00:00:00+00:00,-0.1895229680034698
2021-06-21 00:00:00+00:00,-0.16881281937607845
2021-06-22 00:00:00+00:00,-0.17178390258471213
2021-06-23 00:00:00+00:00,-0.17336941850487086
2021-06-24 00:00:00+00:00,-0.176828427452978
2021-06-25 00:00:00+00:00,-0.16881269199742
2021-06-26 00:00:00+00:00,-0.17309542001407083
2021-06-27 00:00:00+00:00,-0.16663201751526824
2021-06-28 00:00:00+00:00,-0.17227228776854775
2021-06-29 00:00:00+00:00,-0.1743023851125048
2021-06-30 00:00:00+00:00,-0.17920081230063145
2021-07-01 00:00:00+00:00,-0.18175259338727
2021-07-02 00:00:00+00:00,-0.18741968373867113
2021-07-03 00:00:00+00:00,-0.19200170318230816
2021-07-04 00:00:00+00:00,-0.19741997866896527
2021-07-05 00:00:00+00:00,-0.19868647634183484
2021-07-06 00:00:00+00:00,-0.20441893972152497
2021-07-07 00:00:00+00:00,-0.21111559438747768
2021-07-08 00:00:00+00:00,-0.21584642588560973
2021-07-09 00:00:00+00:00,-0.21915885502422294
2021-07-10 00:00:00+00:00,-0.22647149940977443
2021-07-11 00:00:00+00:00,-0.23151836630984426
2021-07-12 00:00:00+00:00,-0.23500841947596723
2021-07-13 00:00:00+00:00,-0.242456926468747
2021-07-14 00:00:00+00:00,-0.25033450296257204
2021-07-15 00:00:00+00:00,-0.25402794125841854
2021-07-16 00:00:00+00:00,-0.26242893579923376
2021-07-17 00:00:00+00:00,-0.27070146276511475
2021-07-18 00:00:00+00:00,-0.2784613569084569
2021-07-19 00:00:00+00:00,-0.2820814175640879
2021-07-20 00:00:00+00:00,-0.2854515650836584
2021-07-21 00:00:00+00:00,-0.24826289168282556
2021-07-22 00:00:00+00:00,-0.2562138700344704
2021-07-23 00:00:00+00:00,-0.2548222237441693
2021-07-24 00:00:00+00:00,-0.2608477364432196
2021-07-25 00:00:00+00:00,-0.26429197338578414
2021-07-26 00:00:00+00:00,-0.2564156615412167
2021-07-27 00:00:00+00:00,-0.2518314417743865
2021-07-28 00:00:00+00:00,-0.26022886927939426
2021-07-29 00:00:00+00:00,0.0
2021-07-30 00:00:00+00:00,0.0
2021-07-31 00:00:00+00:00,0.0
2021-08-01 00:00:00+00:00,0.0
2021-08-02 00:00:00+00:00,0.0
2021-08-03 00:00:00+00:00,0.0
2021-08-04 00:00:00+00:00,0.0
2021-08-05 00:00:00+00:00,0.0
2021-08-06 00:00:00+00:00,0.0
2021-08-07 00:00:00+00:00,0.0
2021-08-08 00:00:00+00:00,0.0
2021-08-09 00:00:00+00:00,0.26699058026357403
2021-08-10 00:00:00+00:00,0.269640182574527
2021-08-11 00:00:00+00:00,0.27788213400157497
2021-08-12 00:00:00+00:00,0.27696088460293167
2021-08-13 00:00:00+00:00,0.2569673019385634
2021-08-14 00:00:00+00:00,0.2610458271850141
2021-08-15 00:00:00+00:00,0.2689793875299138
2021-08-16 00:00:00+00:00,0.27062267701307596
2021-08-17 00:00:00+00:00,0.2700867209226153
2021-08-18 00:00:00+00:00,0.2791773765391827
2021-08-19 00:00:00+00:00,0.0
2021-08-20 00:00:00+00:00,0.0
2021-08-21 00:00:00+00:00,0.0
2021-08-22 00:00:00+00:00,0.0
2021-08-23 00:00:00+00:00,0.0
2021-08-24 00:00:00+00:00,0.0
2021-08-25 00:00:00+00:00,0.0
2021-08-26 00:00:00+00:00,0.0
2021-08-27 00:00:00+00:00,0.0
2021-08-28 00:00:00+00:00,0.0
2021-08-29 00:00:00+00:00,0.0
2021-08-30 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-01 00:00:00+00:00,0.0
2021-09-02 00:00:00+00:00,0.0
2021-09-03 00:00:00+00:00,0.0
2021-09-04 00:00:00+00:00,0.0
2021-09-05 00:00:00+00:00,0.0
2021-09-06 00:00:00+00:00,0.0
2021-09-07 00:00:00+00:00,0.0
2021-09-08 00:00:00+00:00,0.0
2021-09-09 00:00:00+00:00,0.0
2021-09-10 00:00:00+00:00,0.0
2021-09-11 00:00:00+00:00,0.0
2021-09-12 00:00:00+00:00,0.0
2021-09-13 00:00:00+00:00,0.0
2021-09-14 00:00:00+00:00,0.0
2021-09-15 00:00:00+00:00,0.0
2021-09-16 00:00:00+00:00,0.0
2021-09-17 00:00:00+00:00,0.0
2021-09-18 00:00:00+00:00,0.0
2021-09-19 00:00:00+00:00,0.0
2021-09-20 00:00:00+00:00,0.0
2021-09-21 00:00:00+00:00,0.0
2021-09-22 00:00:00+00:00,0.0
2021-09-23 00:00:00+00:00,0.0
2021-09-24 00:00:00+00:00,0.0
2021-09-25 00:00:00+00:00,0.0
2021-09-26 00:00:00+00:00,0.0
2021-09-27 00:00:00+00:00,0.0
2021-09-28 00:00:00+00:00,0.0
2021-09-29 00:00:00+00:00,0.0
2021-09-30 00:00:00+00:00,0.0
2021-10-01 00:00:00+00:00,0.0
2021-10-02 00:00:00+00:00,0.0
2021-10-03 00:00:00+00:00,0.0
2021-10-04 00:00:00+00:00,0.0
2021-10-05 00:00:00+00:00,0.0
2021-10-06 00:00:00+00:00,0.0
2021-10-07 00:00:00+00:00,0.0
2021-10-08 00:00:00+00:00,0.0
2021-10-09 00:00:00+00:00,0.0
2021-10-10 00:00:00+00:00,0.0
2021-10-11 00:00:00+00:00,0.24277192588391608
2021-10-12 00:00:00+00:00,0.24329792958469879
2021-10-13 00:00:00+00:00,0.250530459475161
2021-10-14 00:00:00+00:00,0.25807702770403174
2021-10-15 00:00:00+00:00,0.2447817852061718
2021-10-16 00:00:00+00:00,0.24939060273449556
2021-10-17 00:00:00+00:00,0.2578333321277514
2021-10-18 00:00:00+00:00,0.2664220320902545
2021-10-19 00:00:00+00:00,0.2716256478084448
2021-10-20 00:00:00+00:00,0.2795766626977149
2021-10-21 00:00:00+00:00,0.2519133163868056
2021-10-22 00:00:00+00:00,0.2533879915134642
2021-10-23 00:00:00+00:00,0.26188869650981617
2021-10-24 00:00:00+00:00,0.2691357974923134
2021-10-25 00:00:00+00:00,0.2728654272967589
2021-10-26 00:00:00+00:00,0.2630257662987534
2021-10-27 00:00:00+00:00,0.2628378329477858
2021-10-28 00:00:00+00:00,0.26439362398666494
2021-10-29 00:00:00+00:00,0.270224813411433
2021-10-30 00:00:00+00:00,0.2783264933843722
2021-10-31 00:00:00+00:00,0.2859427654450966
2021-11-01 00:00:00+00:00,0.2947768552668877
2021-11-02 00:00:00+00:00,0.2952558602439067
2021-11-03 00:00:00+00:00,0.30425257380291426
2021-11-04 00:00:00+00:00,0.30532051405289484
2021-11-05 00:00:00+00:00,0.3148220796511292
2021-11-06 00:00:00+00:00,0.3253389711647905
2021-11-07 00:00:00+00:00,0.3279301352633401
2021-11-08 00:00:00+00:00,0.29859500691140833
2021-11-09 00:00:00+00:00,0.3056071894858096
2021-11-10 00:00:00+00:00,0.3015082905694175
2021-11-11 00:00:00+00:00,0.3113729121564304
2021-11-12 00:00:00+00:00,0.31859014595287805
2021-11-13 00:00:00+00:00,0.3293745360612725
2021-11-14 00:00:00+00:00,0.3386949378427111
2021-11-15 00:00:00+00:00,0.3339477884987813
2021-11-16 00:00:00+00:00,0.3060389550454849
2021-11-17 00:00:00+00:00,0.31615747199830846
2021-11-18 00:00:00+00:00,0.29288709173414473
2021-11-19 00:00:00+00:00,0.29680773982624487
2021-11-20 00:00:00+00:00,0.2981941986111771
2021-11-21 00:00:00+00:00,0.3059967503338798
2021-11-22 00:00:00+00:00,0.29982998705833436
2021-11-23 00:00:00+00:00,0.0
2021-11-24 00:00:00+00:00,0.0
2021-11-25 00:00:00+00:00,0.0
2021-11-26 00:00:00+00:00,0.0
2021-11-27 00:00:00+00:00,0.0
2021-11-28 00:00:00+00:00,0.0
2021-11-29 00:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,0.0
2021-12-01 00:00:00+00:00,0.0
2021-12-02 00:00:00+00:00,0.0
2021-12-03 00:00:00+00:00,0.0
2021-12-04 00:00:00+00:00,0.0
2021-12-05 00:00:00+00:00,0.0
2021-12-06 00:00:00+00:00,0.0
2021-12-07 00:00:00+00:00,0.0
2021-12-08 00:00:00+00:00,0.0
2021-12-09 00:00:00+00:00,0.0
2021-12-10 00:00:00+00:00,-0.281602337712792
2021-12-11 00:00:00+00:00,-0.2689107288106297
2021-12-12 00:00:00+00:00,-0.274667449818028
2021-12-13 00:00:00+00:00,-0.25575129505587446
2021-12-14 00:00:00+00:00,-0.26413851895586216
2021-12-15 00:00:00+00:00,-0.25271108068940346
2021-12-16 00:00:00+00:00,-0.2587534590399149
2021-12-17 00:00:00+00:00,0.0
2021-12-18 00:00:00+00:00,0.0
2021-12-19 00:00:00+00:00,0.0
2021-12-20 00:00:00+00:00,0.0
2021-12-21 00:00:00+00:00,0.0
2021-12-22 00:00:00+00:00,0.0
2021-12-23 00:00:00+00:00,0.0
2021-12-24 00:00:00+00:00,0.0
2021-12-25 00:00:00+00:00,0.0
2021-12-26 00:00:00+00:00,0.0
2021-12-27 00:00:00+00:00,0.0
2021-12-28 00:00:00+00:00,0.0
2021-12-29 00:00:00+00:00,0.0
2021-12-30 00:00:00+00:00,0.0
2021-12-31 00:00:00+00:00,0.0
2022-01-01 00:00:00+00:00,0.0
2022-01-02 00:00:00+00:00,0.0
2022-01-03 00:00:00+00:00,0.0
2022-01-04 00:00:00+00:00,0.0
2022-01-05 00:00:00+00:00,0.0
2022-01-06 00:00:00+00:00,0.0
2022-01-07 00:00:00+00:00,0.0
2022-01-08 00:00:00+00:00,0.0
2022-01-09 00:00:00+00:00,0.0
2022-01-10 00:00:00+00:00,0.0
2022-01-11 00:00:00+00:00,0.0
2022-01-12 00:00:00+00:00,0.0
2022-01-13 00:00:00+00:00,0.0
2022-01-14 00:00:00+00:00,0.0
2022-01-15 00:00:00+00:00,0.0
2022-01-16 00:00:00+00:00,0.0
2022-01-17 00:00:00+00:00,0.0
2022-01-18 00:00:00+00:00,0.0
2022-01-19 00:00:00+00:00,0.0
2022-01-20 00:00:00+00:00,0.0
2022-01-21 00:00:00+00:00,0.0
2022-01-22 00:00:00+00:00,0.0
2022-01-23 00:00:00+00:00,0.0
2022-01-24 00:00:00+00:00,0.0
2022-01-25 00:00:00+00:00,0.0
2022-01-26 00:00:00+00:00,0.0
2022-01-27 00:00:00+00:00,0.0
2022-01-28 00:00:00+00:00,0.0
2022-01-29 00:00:00+00:00,0.0
2022-01-30 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.0
2022-02-01 00:00:00+00:00,0.0
2022-02-02 00:00:00+00:00,0.0
2022-02-03 00:00:00+00:00,0.0
2022-02-04 00:00:00+00:00,-0.24049015557977296
2022-02-05 00:00:00+00:00,-0.24855584571669356
2022-02-06 00:00:00+00:00,-0.2545950686304625
2022-02-07 00:00:00+00:00,-0.25806353061872284
2022-02-08 00:00:00+00:00,-0.26683195394933384
2022-02-09 00:00:00+00:00,-0.2758877238118622
2022-02-10 00:00:00+00:00,-0.28083774613773316
2022-02-11 00:00:00+00:00,-0.28228056284221326
2022-02-12 00:00:00+00:00,0.0
2022-02-13 00:00:00+00:00,0.0
2022-02-14 00:00:00+00:00,0.0
2022-02-15 00:00:00+00:00,0.0
2022-02-16 00:00:00+00:00,0.0
2022-02-17 00:00:00+00:00,0.0
2022-02-18 00:00:00+00:00,0.0
2022-02-19 00:00:00+00:00,0.2759673750104078
2022-02-20 00:00:00+00:00,0.2725556172221743
2022-02-21 00:00:00+00:00,0.2744489217794269
2022-02-22 00:00:00+00:00,0.0
2022-02-23 00:00:00+00:00,0.0
2022-02-24 00:00:00+00:00,0.0
2022-02-25 00:00:00+00:00,0.0
2022-02-26 00:00:00+00:00,0.0
2022-02-27 00:00:00+00:00,0.0
2022-02-28 00:00:00+00:00,0.0
2022-03-01 00:00:00+00:00,0.0
2022-03-02 00:00:00+00:00,0.0
2022-03-03 00:00:00+00:00,0.21436848396504743
2022-03-04 00:00:00+00:00,0.19882055256076703
2022-03-05 00:00:00+00:00,0.20529757530177076
2022-03-06 00:00:00+00:00,0.21048935940033295
2022-03-07 00:00:00+00:00,0.0
2022-03-08 00:00:00+00:00,0.0
2022-03-09 00:00:00+00:00,0.0
2022-03-10 00:00:00+00:00,0.0
2022-03-11 00:00:00+00:00,0.0
2022-03-12 00:00:00+00:00,-0.21264015537598402
2022-03-13 00:00:00+00:00,-0.21748399222603612
2022-03-14 00:00:00+00:00,-0.21533618703211246
2022-03-15 00:00:00+00:00,-0.2223980126177456
2022-03-16 00:00:00+00:00,-0.22151512057179476
2022-03-17 00:00:00+00:00,-0.2288366269600407
2022-03-18 00:00:00+00:00,-0.23495254230007293
2022-03-19 00:00:00+00:00,0.0
2022-03-20 00:00:00+00:00,-0.24733158440387334
2022-03-21 00:00:00+00:00,-0.25552860483117495
2022-03-22 00:00:00+00:00,0.0
2022-03-23 00:00:00+00:00,0.0
2022-03-24 00:00:00+00:00,0.0
2022-03-25 00:00:00+00:00,0.0
2022-03-26 00:00:00+00:00,0.0
2022-03-27 00:00:00+00:00,0.0
2022-03-28 00:00:00+00:00,0.0
2022-03-29 00:00:00+00:00,0.0
2022-03-30 00:00:00+00:00,0.31013792165238024
2022-03-31 00:00:00+00:00,0.3038038661133622
2022-04-01 00:00:00+00:00,0.31259454525514946
